market,code,name,signal,entry_price,close,high,n_high,n_high_ratio,atr,low,n_low,last_close
KR,013000,세우글로벌,청산,,1250.0,1250.0,1281.0,0.9758,58.9,1157.0,1163.0,
KR,009140,경인전자,관심,,22000.0,22750.0,22800.0,0.9978,1045.0,21400.0,21150.0,
KR,002880,디와이에이,청산,,753.0,0.0,791.0,0.0,404.7,0.0,0.0,
KR,004365,세방우,탈락,,9380.0,9430.0,9480.0,0.9947,147.0,9300.0,9250.0,9360.0
KR,005820,원림,진입,,15430.0,15570.0,15370.0,1.013,536.0,15210.0,14590.0,
KR,143210,핸즈코퍼레이션,청산,,1199.0,0.0,0.0,,1199.0,0.0,0.0,
KR,009460,한창제지,청산,,2870.0,2945.0,3500.0,0.8414,205.0,2760.0,2835.0,
KR,010400,우진아이엔에스,청산,,4180.0,4210.0,4390.0,0.959,186.0,4125.0,4135.0,
KR,308170,씨티알모빌리티,청산,,3630.0,3650.0,3765.0,0.9695,172.0,3505.0,3550.0,
KR,001070,대한방직,청산,,5990.0,5990.0,6140.0,0.9756,167.0,5860.0,5920.0,
KR,023150,MH에탄올,청산,,4135.0,4250.0,4700.0,0.9043,197.5,4105.0,4120.0,
KR,002690,동일제강,진입,,1502.0,1502.0,1496.0,1.004,50.2,1467.0,1444.0,
KR,069640,한세엠케이,청산,,1446.0,1500.0,1489.0,1.0074,74.1,1391.0,1397.0,
KR,090370,메타랩스,탈락,,1104.0,1165.0,1142.0,1.0201,60.7,1070.0,1065.0,
KR,019175,신풍제약우,탈락,,14880.0,16150.0,15870.0,1.0176,1405.0,14620.0,13000.0,
KR,051630,진양화학,탈락,,1386.0,1414.0,1410.0,1.0028,106.6,1344.0,1084.0,
KR,001380,SG글로벌,탈락,,1315.0,1335.0,1337.0,0.9985,42.7,1308.0,1295.0,
KR,014130,한익스프레스,청산,,2440.0,2500.0,2500.0,1.0,106.5,2405.0,2405.0,
KR,003060,에이프로젠바이오로직스,청산,,1800.0,1854.0,2455.0,0.7552,161.9,1796.0,1835.0,
KR,118000,메타케어,청산,,1275.0,1319.0,1362.0,0.9684,55.4,1268.0,1283.0,
KR,025890,한국주강,청산,,2505.0,2510.0,2555.0,0.9824,57.5,2445.0,2470.0,
KR,005320,온타이드,탈락,,800.0,854.0,830.0,1.0289,90.5,780.0,729.0,
KR,006345,대원전선우,청산,,9990.0,10090.0,10350.0,0.9749,429.0,9610.0,9610.0,
KR,005110,한창,청산,,1254.0,0.0,0.0,,1254.0,0.0,0.0,
KR,004870,티웨이홀딩스,청산,,1130.0,1139.0,1194.0,0.9539,72.9,1114.0,1117.0,
KR,006490,프리티,청산,,898.0,0.0,0.0,,898.0,0.0,0.0,
KR,030720,동원수산,청산,,5420.0,0.0,5990.0,0.0,849.0,0.0,5150.0,
KR,465770,STX그린로지스,탈락,,3240.0,3725.0,3600.0,1.0347,511.0,3100.0,2850.0,
KR,000040,KR모터스,탈락,,1456.0,1539.0,1490.0,1.0329,138.7,1425.0,1303.0,
KR,071950,코아스,확정,1748.0,1718.0,1730.0,1741.0,0.9937,123.7,1616.0,1570.0,
KR,003495,대한항공우,탈락,,21750.0,21950.0,22000.0,0.9977,425.0,21700.0,21200.0,21800.0
KR,009310,참엔지니어링,청산,,5330.0,0.0,0.0,,5330.0,0.0,0.0,
KR,002820,SUN&L,탈락,,1670.0,1750.0,1730.0,1.0116,142.8,1582.0,1487.0,
KR,015020,이스타코,청산,,928.0,0.0,0.0,,928.0,0.0,0.0,
KR,001685,대상우,관심,,14670.0,14710.0,14710.0,1.0,275.0,14600.0,14350.0,
KR,008775,호텔신라우,확정,29400.0,29200.0,29350.0,29600.0,0.9916,845.0,29000.0,28300.0,
KR,108675,LX하우시스우,청산,,18800.0,19390.0,19000.0,1.0205,457.0,18600.0,18650.0,18730.0
KR,011090,에넥스,청산,,1500.0,2035.0,2400.0,0.8479,314.3,1500.0,2100.0,
KR,008600,윌비스,청산,,2620.0,0.0,0.0,,2620.0,0.0,0.0,
KR,001420,태원물산,청산,,2300.0,2345.0,2725.0,0.8606,261.5,2200.0,2290.0,
KR,009440,KC그린홀딩스,청산,,756.0,0.0,0.0,,756.0,0.0,0.0,
KR,005725,넥센우,청산,,4310.0,4445.0,4690.0,0.9478,140.5,4300.0,4305.0,
KR,18064K,한진칼우,청산,,29850.0,30400.0,30000.0,1.0133,1150.0,28500.0,28850.0,
KR,002025,코오롱우,탈락,,13360.0,13400.0,13400.0,1.0,653.0,13050.0,12650.0,
KR,000087,하이트진로2우B,탈락,,12380.0,12550.0,12470.0,1.0064,209.0,12350.0,12190.0,
KR,38380K,LX홀딩스1우,진입,,7720.0,7720.0,7710.0,1.0013,189.0,7470.0,7490.0,7500.0
KR,145995,삼양사우,청산,,33100.0,33100.0,33450.0,0.9895,645.0,32550.0,32550.0,
KR,019685,대교우B,청산,,598.0,0.0,0.0,,598.0,0.0,0.0,
KR,00781K,코리아써키트2우B,탈락,,14210.0,14210.0,14280.0,0.9951,360.0,14210.0,13530.0,
KR,001067,JW중외제약2우B,탈락,,48800.0,47800.0,47900.0,0.9979,950.0,47800.0,45600.0,
KR,004255,NPC우,청산,,1835.0,1854.0,1881.0,0.9856,42.9,1822.0,1830.0,
KR,145210,다이나믹디자인,청산,,2240.0,0.0,0.0,,2240.0,0.0,0.0,
KR,001755,한양증권우,청산,,19440.0,19500.0,19990.0,0.9755,682.0,19260.0,19400.0,
KR,003075,코오롱글로벌우,청산,,12970.0,13750.0,13800.0,0.9964,554.0,12550.0,13000.0,
KR,001515,SK증권우,청산,,4320.0,4370.0,5020.0,0.8705,357.5,4250.0,4310.0,
KR,000225,유유제약1우,관심,,3740.0,3785.0,3795.0,0.9974,125.0,3615.0,3565.0,
KR,012205,계양전기우,청산,,5750.0,5760.0,6040.0,0.9536,219.0,5630.0,5730.0,
